latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-6.72185,-44.15761,367,0.44,0.62,2026-09-23,0342,N20,high,2.0NRT,289.89,15.93,N
-6.72261,-44.15351,367,0.44,0.62,2026-09-23,0342,N20,high,2.0NRT,292.1,8.53,N
-6.72337,-44.14941,306.56,0.44,0.62,2026-09-23,0342,N20,nominal,2.0NRT,288.81,8.53,N
-7.13446,-42.06511,315.68,0.62,0.54,2026-09-23,0342,N20,nominal,2.0NRT,294.2,2,N
-7.14135,-42.08381,305.42,0.63,0.54,2026-09-23,0342,N20,nominal,2.0NRT,293.72,1,N
-7.14234,-42.07822,303.36,0.62,0.54,2026-09-23,0342,N20,nominal,2.0NRT,292.93,1,N
-6.19511,-47.37844,319.43,0.74,0.76,2026-09-23,0342,N20,nominal,2.0NRT,285.79,3.68,N
-7.15619,-42.08656,307.09,0.63,0.54,2026-09-23,0342,N20,nominal,2.0NRT,294.42,2.07,N
-6.20208,-47.37996,319.73,0.74,0.76,2026-09-23,0342,N20,nominal,2.0NRT,288.09,3.68,N
-6.89292,-43.6314,302.11,0.4,0.6,2026-09-23,0342,N20,nominal,2.0NRT,290,1.84,N
-6.89779,-43.63605,330.41,0.4,0.6,2026-09-23,0342,N20,nominal,2.0NRT,290.89,1.84,N
-6.89845,-43.63237,320.67,0.4,0.6,2026-09-23,0342,N20,nominal,2.0NRT,291,1.84,N
-6.88792,-43.75574,305.2,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,289.47,0.99,N
-6.89349,-43.75673,302.86,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,289.55,0.94,N
-7.12629,-43.08079,319.53,0.37,0.58,2026-09-23,0342,N20,nominal,2.0NRT,293.76,2.28,N
-7.12745,-43.07419,309.45,0.37,0.58,2026-09-23,0342,N20,nominal,2.0NRT,292.61,0.79,N
-7.13157,-43.08184,310.14,0.37,0.58,2026-09-23,0342,N20,nominal,2.0NRT,293.56,1.48,N
-7.13215,-43.07854,307.2,0.37,0.58,2026-09-23,0342,N20,nominal,2.0NRT,292.82,1.48,N
-7.13273,-43.07523,319.51,0.37,0.58,2026-09-23,0342,N20,nominal,2.0NRT,293.18,1.61,N
-7.13627,-43.08624,310.44,0.37,0.58,2026-09-23,0342,N20,nominal,2.0NRT,292.34,2.37,N
-7.13125,-43.07504,322.79,0.36,0.58,2026-09-23,0342,N20,nominal,2.0NRT,293.34,2.4,N
-7.12823,-43.09153,307.32,0.37,0.58,2026-09-23,0342,N20,nominal,2.0NRT,292.68,1.21,N
-7.13005,-43.08162,307.77,0.37,0.58,2026-09-23,0342,N20,nominal,2.0NRT,293.39,1.18,N
-7.13065,-43.07833,305.84,0.37,0.58,2026-09-23,0342,N20,nominal,2.0NRT,293.09,1.18,N
-7.13472,-43.08599,314.6,0.37,0.58,2026-09-23,0342,N20,nominal,2.0NRT,292.12,2.61,N
-7.13532,-43.0827,306.93,0.37,0.58,2026-09-23,0342,N20,nominal,2.0NRT,292.56,1.18,N
-7.31537,-42.26351,331.1,0.32,0.55,2026-09-23,0342,N20,nominal,2.0NRT,295.9,1.5,N
-7.31487,-42.26635,306.04,0.32,0.55,2026-09-23,0342,N20,nominal,2.0NRT,294.42,1.5,N
-7.02478,-44.65887,338.5,0.47,0.64,2026-09-23,0342,N20,nominal,2.0NRT,291.29,11.09,N
-7.02555,-44.65465,367,0.47,0.64,2026-09-23,0342,N20,high,2.0NRT,294.29,10.94,N
-7.02631,-44.65047,334.05,0.47,0.64,2026-09-23,0342,N20,nominal,2.0NRT,292.13,10.94,N
-7.03065,-44.66,367,0.47,0.64,2026-09-23,0342,N20,high,2.0NRT,294.06,7.71,N
-7.03141,-44.65579,352.94,0.47,0.64,2026-09-23,0342,N20,nominal,2.0NRT,292.65,7.45,N
-7.02987,-44.6643,304.86,0.47,0.64,2026-09-23,0342,N20,nominal,2.0NRT,290.08,7.71,N
-7.03217,-44.6516,310.79,0.47,0.64,2026-09-23,0342,N20,nominal,2.0NRT,291.47,7.45,N
-7.4082,-42.6442,312.97,0.34,0.56,2026-09-23,0342,N20,nominal,2.0NRT,291.56,1.18,N
-7.40874,-42.64111,302.92,0.34,0.56,2026-09-23,0342,N20,nominal,2.0NRT,291.51,0.82,N
-7.41333,-42.64505,310.46,0.34,0.56,2026-09-23,0342,N20,nominal,2.0NRT,292.41,1.35,N
-6.89042,-46.55147,318.86,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,288.48,4.93,N
-6.89145,-46.54596,308.24,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,288.93,3.96,N
-6.89375,-46.57028,300.82,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,288.4,1.29,N
-6.89591,-46.55873,300.06,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,285.71,1.57,N
-6.89703,-46.55268,303.1,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,289.17,1.57,N
-6.90044,-46.57114,301.99,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,288.4,1.29,N
-6.92253,-46.56268,304.53,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,290.61,6.1,N
-6.92907,-46.56433,326.61,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,291.12,6.1,N
-6.93016,-46.55841,342.1,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,292.41,6.1,N
-6.92686,-46.57633,303.56,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,289.95,3.1,N
-6.92796,-46.57037,317.01,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,291.11,3.1,N
-6.92698,-46.56141,328,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,291.23,4.49,N
-6.9247,-46.57338,306.12,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,290.39,3.03,N
-6.92584,-46.56738,313.3,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,291,4.49,N
-6.92811,-46.55553,313.72,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,291.24,6.66,N
-6.93348,-46.56324,320.01,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,291.12,3.6,N
-6.93234,-46.56921,306.15,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,290.86,3.6,N
-6.9346,-46.55737,304.14,0.63,0.72,2026-09-23,0342,N20,nominal,2.0NRT,289.05,3.68,N
-6.81334,-47.88083,319.03,0.78,0.78,2026-09-23,0342,N20,nominal,2.0NRT,286.77,4.06,N
